Year,State,Award Amount
2004,AL,339000
2004,AL,1559000
2004,AL,778159
2004,AL,2556000
2004,AL,94960
2004,AL,1083004
2004,AL,2427000
2004,AL,91119
2004,AL,972698
2004,AL,3433000
2004,AL,123383
2004,AL,1592418
2004,AL,2548000
2004,AL,96167
2004,AL,1334703
2004,AL,308000
2004,AL,1114000
2004,AL,678883
2005,AL,520531
2005,AL,237720
2005,AL,248520
2005,AL,258839
2005,AL,177727
2005,AL,194793
2005,AL,138606
2005,AL,164653
2005,AL,124358
2005,AL,108966
2005,AL,294503
2005,AL,70327
2005,AL,213204
2005,AL,101830
2005,AL,120245
2005,AL,176020
2005,AL,163078
2005,AL,86100
2005,AL,317553
2005,AL,78179
2005,AL,105000
2005,AL,123060
2005,AL,384573
2005,AL,143430
2005,AL,25262
2005,AL,153733
2005,AL,94756
2005,AL,166600
2005,AL,88222
2005,AL,78800
2005,AL,117300
2005,AL,149301
2005,AL,186874
2005,AL,258591
2005,AL,314705
2005,AL,108858
2005,AL,165505
2005,AL,271689
2005,AL,189126
2005,AL,26460
2005,AL,285783
2005,AL,219089
2005,AL,82379
2005,AL,403884
2005,AL,878352
2005,AL,1849284
2005,AL,159973
2005,AL,243791
2005,AL,128182
2005,AL,47836
2005,AL,480944
2005,AL,64688
2005,AL,303477
2005,AL,502679
2005,AL,28642092
2005,AL,1428853
2005,AL,16780684
2005,AL,1117000
2005,AL,760883
2005,AL,817717
2005,AL,804662
2005,AL,7595149
2005,AL,293219
2005,AL,2246287
2005,AL,497000
2005,AL,585913
2005,AL,607699
2005,AL,487933
2005,AL,1336655
2005,AL,572331
2005,AL,321246
2005,AL,1476774
2005,AL,744647
2005,AL,2371307
2005,AL,93489
2005,AL,1026496
2005,AL,2296565
2005,AL,88769
2005,AL,929515
2005,AL,3273136
2005,AL,125566
2005,AL,1523384
2005,AL,2405221
2005,AL,93188
2005,AL,1262118
2005,AL,290569
2005,AL,1053750
2005,AL,640208
2006,AL,520531
2006,AL,56393
2006,AL,105017
2006,AL,258504
2006,AL,126871
2006,AL,177727
2006,AL,194793
2006,AL,286800
2006,AL,138606
2006,AL,164652
2006,AL,81515
2006,AL,108965
2006,AL,209042
2006,AL,294502
2006,AL,70327
2006,AL,101830
2006,AL,120244
2006,AL,171019
2006,AL,163077
2006,AL,86100
2006,AL,231093
2006,AL,217440
2006,AL,78178
2006,AL,105000
2006,AL,123060
2006,AL,384573
2006,AL,143430
2006,AL,25261
2006,AL,148732
2006,AL,94756
2006,AL,88222
2006,AL,29297
2006,AL,156600
2006,AL,78800
2006,AL,141300
2006,AL,128638
2006,AL,149301
2006,AL,186874
2006,AL,258591
2006,AL,108858
2006,AL,314705
2006,AL,165505
2006,AL,189126
2006,AL,271689
2006,AL,26460
2006,AL,47836
2006,AL,219089
2006,AL,167736
2006,AL,82379
2006,AL,404532
2006,AL,879804
2006,AL,1873788
2006,AL,234751
2006,AL,128182
2006,AL,159973
2006,AL,488516
2006,AL,167735
2006,AL,64688
2006,AL,303477
2006,AL,25849199
2006,AL,1430085
2006,AL,15937765
2006,AL,1145000
2006,AL,680331
